
//
// Armor techs
//
ARMOR_NAME       | Technologies des blindages
ECMJAMMER_6_BRIEF     | Déf. antimissile 6
ECMJAMMER_6_DETAIL    | Ajoute 6 niveau à la défense contre les attaques de missiles ennemis.

ECMJAMMER_7_NAME      | Brouilleurs(ECM) Mark VII
ECMJAMMER_7_ITEM      | Brouilleur VII
ECMJAMMER_7_BRIEF     | Déf. antimissile 7
ECMJAMMER_7_DETAIL    | Ajoute 7 niveau à la défense contre les attaques de missiles ennemis.

ECMJAMMER_8_NAME      | Brouilleurs(ECM) Mark VIII
ECMJAMMER_8_ITEM      | Brouilleur VIII
ECMJAMMER_8_BRIEF     | Déf. antimissile 8
ECMJAMMER_8_DETAIL    | Ajoute 8 niveau à la défense contre les attaques de missiles ennemis.

ECMJAMMER_9_NAME      | Brouilleurs(ECM) Mark IX
ECMJAMMER_9_ITEM      | Brouilleur IX
ECMJAMMER_9_BRIEF     | Déf. antimissile 9
ECMJAMMER_9_DETAIL    | Ajoute 9 niveau à la défense contre les attaques de missiles ennemis.

ECMJAMMER_10_NAME     | Brouilleurs(ECM) Mark X
ECMJAMMER_10_ITEM     | Brouilleur X
ECMJAMMER_10_BRIEF    | Déf. antimissile 10
ECMJAMMER_10_DETAIL   | Ajoute 10 niveau à la défense contre les attaques de missiles ennemis.
ECMJAMMER_10_INFO     | Il s'agit du brouilleurs(ECM) le plus performant.


//
// Ecological Restoration techs
//
ECORESTORATION_NAME     | Technologies de restauration écologique
ECORESTORATION_DETAIL   | Le coût initial du nettoyage des déchets industriels est de 1 BC pour 2 unités de déchets. Avec la bonne technologie, vous pourez nettoyer jusqu'à 20 unités de déchets par BC.

ECORESTORATION_0_NAME   | Restauration écologique
ECORESTORATION_0_DETAIL | Élimine 2 unités de déchets industriels pour un coût de 1 BC.

ECORESTORATION_1_NAME   | Restauration écologique ameliorée
ECORESTORATION_1_DETAIL | Élimine 3 unités de déchets industriels pour un coût de 1 BC.

ECORESTORATION_2_NAME   | Restauration écologique renforcée
ECORESTORATION_2_DETAIL | Élimine 5 unités de déchets industriels pour un coût de 1 BC.

ECORESTORATION_3_NAME   | Restauration écologique avancée
ECORESTORATION_3_DETAIL | Élimine 10 unités de déchets industriels pour un coût de 1 BC.

ECORESTORATION_4_NAME   | Restauration écologique complète
ECORESTORATION_4_DETAIL | Élimine 20 unités de déchets industriels pour un coût de 1 BC.
ECORESTORATION_4_INFO   | Il s'agit de la restauration écologique la plus performante.


//
// Energy Pulsar techs
//
PULSAR_NAME       | Technologies des Pulsar
PULSAR_DETAIL     | Les pulsars d'énergie (niveau 16) et les pulsars ioniques (niveau 40) sont des technologies de propulsion qui étendent une sphère d'énergie à partir des vaisseaux qui tirent vers toutes les cases adjacentes, touchant les alliés comme les ennemis.<br>Une attaque de pulsar inflige une quantité identique de dégâts à tous les vaisseaux d'un groupe. La force d'une attaque de pulsar varie aléatoirement de 1 à 5 (2 à 10) pour le premier vaisseau du groupe, + 1 pour chaque paire de vaisseaux du groupe effectuant l'attaque de pulsar.<br>Notez que les boucliers ennemis réduiront les dégâts de l'attaque de pulsar.

PULSAR_0_NAME     | Pulsar d'énergie
PULSAR_0_BRIEF    | S'étend pour infliger 1 à 5 dégats
PULSAR_0_DETAIL   | Une puissante modification du moteur qui génère une explosion d'énergie sphérique soudaine frappant tous les vaisseaux adjacents, infligeant jusqu'à 5 points de dégâts +1 pour deux vaisseaux.

PULSAR_1_NAME     | Pulsar ionique
PULSAR_1_BRIEF    | S'étend pour infliger 2 à 10 dégats
PULSAR_1_DETAIL   | Une puissante modification de moteur capable de générer une rafale sphérique d'énergie phasée frappant tous les vaisseaux adjacents et infligeant jusqu'à 10 points de dégâts +1 par vaisseau attaquant.

PULSAR_2_NAME     | Pulsar Cristallin
PULSAR_2_BRIEF    | S'étend pour infliger 1 à 1 000 dégats
PULSAR_2_DETAIL   | Une puissante modification de moteur capable de générer une explosion sphérique d'énergie phasée frappant tous les vaisseaux adjacents pour un maximum de 1 000 points de dégâts +1 par navire attaquant.


//
// Engine techs
//
ENGINE_NAME      | Technologies de Propulsion 
ENGINE_DETAIL    | Une différence importante entre Vestige des Precurseurs et d'autres jeux de conception de vaisseaux est que les moteurs sont entièrement autonomes. Vous choisissez simplement le type de moteur que vous souhaitez (ce sera presque toujours le meilleur type disponible) et le concepteur ajoute automatiquement des moteurs pour répondre à vos besoins en énergie, en tenant compte de tous les autres paramètres de l'écran de conception du vaisseau et en affichant toutes les informations pertinentes sur le panneau Moteurs. Il ajoute même des « moteurs partiels », comme vous pouvez le voir à côté de la statistique Moteurs requis. Il s'agira généralement d'un nombre avec une décimale. Le moteur de votre vaisseau détermine sa vitesse de distorsion, qui correspond à la vitesse à laquelle il se déplace sur la carte principale, mesurée en années-lumières par an. La vitesse de combat de votre vaisseau, qui correspond au nombre d'espaces qu'il parcourt pendant le combat, est déterminée par sa classe de manœuvre. La classe de manœuvre est un paramètre qui détermine la quantité de puissance du vaisseau qui sera détournée pour se déplacer pendant le combat. La classe de manœuvre est limitée par le type de moteur d'un navire, et tous les deux points dans la classe de manœuvre d'un navire lui donnent un point de vitesse de combat.<br>Les transports se déplacent à un point plus lentement que vos moteurs les plus rapides.

ENGINE_0_NAME    | Moteurs rétro
ENGINE_0_DETAIL  | Déplace les vaisseaux à Distorsion %1, et permet une maniabilité maximale de Classe I en combat.
ENGINE_0_ITEM    | Rétro
ENGINE_0_ITEM2   | Classe 1
ENGINE_0_BRIEF   | Distorsion 1  Def %1
ENGINE_0_BRIEF2  | Vitesse de combat %1

// Nucléaire = sous-entendu Fission.
ENGINE_1_NAME    | Propulsion nucléaire
ENGINE_1_DETAIL  | Déplace les vaisseaux à Distorsion %1, et permet une maniabilité maximale de Classe II en combat.
ENGINE_1_ITEM    | Nucléaire
ENGINE_1_ITEM2   | Classe 2
ENGINE_1_BRIEF   | Distorsion 2  Def %1
ENGINE_1_BRIEF2  | Vitesse de combat %1

// Non sens! Subspace est défini pour les communication ou est équivalent à hyperspace (Top technologie!)
// On va donc rester avec l'idée de la traduction originale... Jusqu'à ce qu'on trouve mieux!
ENGINE_2_NAME    | Propulsion conventionnelle subluminale
ENGINE_2_DETAIL  | Déplace les vaisseaux à Distorsion %1, et permet une maniabilité maximale de Classe III en combat.
ENGINE_2_ITEM    | Subluminal
ENGINE_2_ITEM2   | Classe 3
ENGINE_2_BRIEF   | Distorsion 3  Def %1
ENGINE_2_BRIEF2  | Vitesse de combat %1

ENGINE_3_NAME    | Propulsion à fusion
ENGINE_3_DETAIL  | Déplace les vaisseaux à Distorsion %1, et permet une maniabilité maximale de Classe IV en combat.
ENGINE_3_ITEM    | Fusion
ENGINE_3_ITEM2   | Classe 4
ENGINE_3_BRIEF   | Distorsion 4  Def %1
ENGINE_3_BRIEF2  | Vitesse de combat %1

ENGINE_4_NAME    | Moteurs à impulsion
ENGINE_4_DETAIL  | Déplace les vaisseaux à Distorsion %1, et permet une maniabilité maximale de Classe V en combat.
ENGINE_4_ITEM    | Impulsion
ENGINE_4_ITEM2   | Classe 5
ENGINE_4_BRIEF   | Distorsion 5  Def %1
ENGINE_4_BRIEF2  | Vitesse de combat %1

ENGINE_5_NAME    | Propulsion ionique
ENGINE_5_DETAIL  | Déplace les vaisseaux à Distorsion %1, et permet une maniabilité maximale de Classe VI en combat.
ENGINE_5_ITEM    | Ionique
ENGINE_5_ITEM2   | Classe 6
ENGINE_5_BRIEF   | Distorsion 6  Def %1
ENGINE_5_BRIEF2  | Vitesse de combat %1

ENGINE_6_NAME    | Moteurs à anti-matière
ENGINE_6_DETAIL  | Déplace les vaisseaux à Distorsion %1, et permet une maniabilité maximale de Classe VII en combat.
ENGINE_6_ITEM    | Anti-matière
ENGINE_6_ITEM2   | Classe 7
ENGINE_6_BRIEF   | Distorsion 7  Def %1
ENGINE_6_BRIEF2  | Vitesse de combat %1

ENGINE_7_NAME    | Propulsion interphasée
ENGINE_7_DETAIL  | Déplace les vaisseaux à Distorsion %1, et permet une maniabilité maximale de Classe VII en combat.
ENGINE_7_ITEM    | Interphasée
ENGINE_7_ITEM2   | Classe 8
ENGINE_7_BRIEF   | Distorsion 8  Def %1
ENGINE_7_BRIEF2  | Vitesse de combat %1

ENGINE_8_NAME    | Propulsion hyperspatiale
ENGINE_8_DETAIL  | Déplace les vaisseaux à Distorsion %1, et permet une maniabilité maximale de Classe IX en combat.
ENGINE_8_ITEM    | Hyper-espace
ENGINE_8_ITEM2   | Classe 9
ENGINE_8_BRIEF   | Distorsion 9  Def %1
ENGINE_8_BRIEF2  | Vitesse de combat %1
ENGINE_8_INFO    | Ce sont les moteurs les plus performants.


//
// Fuel Range techs
//
FUELRANGE_0_NAME   | Piles à combustible
FUELRANGE_0_DETAIL | Les réserves de carburant permettent aux vaisseaux de s'éloigner jusqu'à %1 années-lumière des planètes des colonies.

// Condensé pour éviter de sortir des champs alloués par les interfaces utilisateur
FUELRANGE_1_NAME   | Piles à Hydrogène
FUELRANGE_1_DETAIL | Les réserves de carburant permettent aux vaisseaux de s'éloigner jusqu'à %1 années-lumière des planètes des colonies.

FUELRANGE_2_NAME   | Piles à Deutérium
FUELRANGE_2_DETAIL | Les réserves de carburant permettent aux vaisseaux de s'éloigner jusqu'à %1 années-lumière des planètes des colonies.

FUELRANGE_3_NAME   | Piles à Irridium
FUELRANGE_3_DETAIL | Les réserves de carburant permettent aux vaisseaux de s'éloigner jusqu'à %1 années-lumière des planètes des colonies.

FUELRANGE_4_NAME   | Cristaux de Dotomite
FUELRANGE_4_DETAIL | Les réserves de carburant permettent aux vaisseaux de s'éloigner jusqu'à %1 années-lumière des planètes des colonies.

FUELRANGE_5_NAME   | Piles à Uridium
FUELRANGE_5_DETAIL | Les réserves de carburant permettent aux vaisseaux de s'éloigner jusqu'à %1 années-lumière des planètes des colonies.

FUELRANGE_6_NAME   | Piles à Reajax II
FUELRANGE_6_DETAIL | Les réserves de carburant permettent aux vaisseaux de s'éloigner jusqu'à %1 années-lumière des planètes des colonies.

FUELRANGE_7_NAME   | Cristaux de Trilithium
FUELRANGE_7_DETAIL | Les réserves de carburant permettent aux vaisseaux de s'éloigner jusqu'à %1 années-lumière des planètes des colonies.

FUELRANGE_8_NAME   | Piles à Thorium
FUELRANGE_8_DETAIL | Les réserves de carburant permettent aux vaisseaux de s'éloigner de n'importe quelle distance des planètes de la colonie.


//
// Ordinateur futuriste techs
//
FUTURECOMP_0_NAME    | Ordinateur futuriste I
FUTURECOMP_0_DETAIL  | Améliorations générales de la technologie informatique.

FUTURECOMP_1_NAME    | Ordinateur futuriste II
FUTURECOMP_1_DETAIL  | Améliorations générales de la technologie informatique.

FUTURECOMP_2_NAME    | Ordinateur futuriste III
FUTURECOMP_2_DETAIL  | Améliorations générales de la technologie informatique.

FUTURECOMP_3_NAME    | Ordinateur futuriste IV
FUTURECOMP_3_DETAIL  | Améliorations générales de la technologie informatique.

FUTURECOMP_4_NAME    | Ordinateur futuriste V
FUTURECOMP_4_DETAIL  | Améliorations générales de la technologie informatique.

FUTURECOMP_5_NAME    | Ordinateur futuriste VI
FUTURECOMP_5_DETAIL  | Améliorations générales de la technologie informatique.

FUTURECOMP_6_NAME    | Ordinateur futuriste VII
FUTURECOMP_6_DETAIL  | Améliorations générales de la technologie informatique.

FUTURECOMP_7_NAME    | Ordinateur futuriste VIII
FUTURECOMP_7_DETAIL  | Améliorations générales de la technologie informatique.

FUTURECOMP_8_NAME    | Ordinateur futuriste IX
FUTURECOMP_8_DETAIL  | Améliorations générales de la technologie informatique.

FUTURECOMP_9_NAME    | Ordinateur futuriste X
FUTURECOMP_9_DETAIL  | Améliorations générales de la technologie informatique.


//
// Construction futuriste techs
//
FUTURECONST_0_NAME    | Construction futuriste I
FUTURECONST_0_DETAIL  | Améliorations générales de la technologie de la construction.

FUTURECONST_1_NAME    | Construction futuriste II
FUTURECONST_1_DETAIL  | Améliorations générales de la technologie de la construction.

FUTURECONST_2_NAME    | Construction futuriste III
FUTURECONST_2_DETAIL  | Améliorations générales de la technologie de la construction.

FUTURECONST_3_NAME    | Construction futuriste IV
FUTURECONST_3_DETAIL  | Améliorations générales de la technologie de la construction.

FUTURECONST_4_NAME    | Construction futuriste V
FUTURECONST_4_DETAIL  | Améliorations générales de la technologie de la construction.

FUTURECONST_5_NAME    | Construction futuriste VI
FUTURECONST_5_DETAIL  | Améliorations générales de la technologie de la construction.

FUTURECONST_6_NAME    | Construction futuriste VII
FUTURECONST_6_DETAIL  | Améliorations générales de la technologie de la construction.

FUTURECONST_7_NAME    | Construction futuriste VIII
FUTURECONST_7_DETAIL  | Améliorations générales de la technologie de la construction.

FUTURECONST_8_NAME    | Construction futuriste IX
FUTURECONST_8_DETAIL  | Améliorations générales de la technologie de la construction.

FUTURECONST_9_NAME    | Construction futuriste X
FUTURECONST_9_DETAIL  | Améliorations générales de la technologie de la construction.


//
// Champ de force futuriste techs
//
FUTUREFORCE_0_NAME    | Champ de force futuriste I
FUTUREFORCE_0_DETAIL  | Améliorations générales de la technologie des champs de force.

FUTUREFORCE_1_NAME    | Champ de force futuriste II
FUTUREFORCE_1_DETAIL  | Améliorations générales de la technologie des champs de force.

FUTUREFORCE_2_NAME    | Champ de force futuriste III
FUTUREFORCE_2_DETAIL  | Améliorations générales de la technologie des champs de force.

FUTUREFORCE_3_NAME    | Champ de force futuriste IV
FUTUREFORCE_3_DETAIL  | Améliorations générales de la technologie des champs de force.

FUTUREFORCE_4_NAME    | Champ de force futuriste V
FUTUREFORCE_4_DETAIL  | Améliorations générales de la technologie des champs de force.

FUTUREFORCE_5_NAME    | Champ de force futuriste VI
FUTUREFORCE_5_DETAIL  | Améliorations générales de la technologie des champs de force.

FUTUREFORCE_6_NAME    | Champ de force futuriste VII
FUTUREFORCE_6_DETAIL  | Améliorations générales de la technologie des champs de force.

FUTUREFORCE_7_NAME    | Champ de force futuriste VIII
FUTUREFORCE_7_DETAIL  | Améliorations générales de la technologie des champs de force.

FUTUREFORCE_8_NAME    | Champ de force futuriste IX
FUTUREFORCE_8_DETAIL  | Améliorations générales de la technologie des champs de force.

FUTUREFORCE_9_NAME    | Champ de force futuriste X
FUTUREFORCE_9_DETAIL  | Améliorations générales de la technologie des champs de force.


//
// Planétologie futuriste techs
//
FUTUREPLANET_0_NAME    | Planétologie futuriste I
FUTUREPLANET_0_DETAIL  | Améliorations générales de la technologie de la planétologie.

FUTUREPLANET_1_NAME    | Planétologie futuriste II
FUTUREPLANET_1_DETAIL  | Améliorations générales de la technologie de la planétologie.

FUTUREPLANET_2_NAME    | Planétologie futuriste III
FUTUREPLANET_2_DETAIL  | Améliorations générales de la technologie de la planétologie.

FUTUREPLANET_3_NAME    | Planétologie futuriste IV
FUTUREPLANET_3_DETAIL  | Améliorations générales de la technologie de la planétologie.

FUTUREPLANET_4_NAME    | Planétologie futuriste V
FUTUREPLANET_4_DETAIL  | Améliorations générales de la technologie de la planétologie.

FUTUREPLANET_5_NAME    | Planétologie futuriste VI
FUTUREPLANET_5_DETAIL  | Améliorations générales de la technologie de la planétologie.

FUTUREPLANET_6_NAME    | Planétologie futuriste VII
FUTUREPLANET_6_DETAIL  | Améliorations générales de la technologie de la planétologie.

FUTUREPLANET_7_NAME    | Planétologie futuriste VIII
FUTUREPLANET_7_DETAIL  | Améliorations générales de la technologie de la planétologie.

FUTUREPLANET_8_NAME    | Planétologie futuriste IX
FUTUREPLANET_8_DETAIL  | Améliorations générales de la technologie de la planétologie.

FUTUREPLANET_9_NAME    | Planétologie futuriste X
FUTUREPLANET_9_DETAIL  | Améliorations générales de la technologie de la planétologie.


//
// Propulsion futuriste techs
//
FUTUREPROP_0_NAME    | Propulsion futuriste I
FUTUREPROP_0_DETAIL  | Améliorations générales de la technologie de propulsion.

FUTUREPROP_1_NAME    | Propulsion futuriste II
FUTUREPROP_1_DETAIL  | Améliorations générales de la technologie de propulsion.

FUTUREPROP_2_NAME    | Propulsion futuriste III
FUTUREPROP_2_DETAIL  | Améliorations générales de la technologie de propulsion.

FUTUREPROP_3_NAME    | Propulsion futuriste IV
FUTUREPROP_3_DETAIL  | Améliorations générales de la technologie de propulsion.

FUTUREPROP_4_NAME    | Propulsion futuriste V
FUTUREPROP_4_DETAIL  | Améliorations générales de la technologie de propulsion.

FUTUREPROP_5_NAME    | Propulsion futuriste VI
FUTUREPROP_5_DETAIL  | Améliorations générales de la technologie de propulsion.

FUTUREPROP_6_NAME    | Propulsion futuriste VII
FUTUREPROP_6_DETAIL  | Améliorations générales de la technologie de propulsion.

FUTUREPROP_7_NAME    | Propulsion futuriste VIII
FUTUREPROP_7_DETAIL  | Améliorations générales de la technologie de propulsion.

FUTUREPROP_8_NAME    | Propulsion futuriste IX
FUTUREPROP_8_DETAIL  | Améliorations générales de la technologie de propulsion.

FUTUREPROP_9_NAME    | Propulsion futuriste X
FUTUREPROP_9_DETAIL  | Améliorations générales de la technologie de propulsion.


//
// Arme futuriste techs
//
FUTUREWEAPON_0_NAME    | Armes futuriste I
FUTUREWEAPON_0_DETAIL  | Améliorations générales de la technologie des armes.

FUTUREWEAPON_1_NAME    | Armes futuriste II
FUTUREWEAPON_1_DETAIL  | Améliorations générales de la technologie des armes.

FUTUREWEAPON_2_NAME    | Armes futuriste III
FUTUREWEAPON_2_DETAIL  | Améliorations générales de la technologie des armes.

FUTUREWEAPON_3_NAME    | Armes futuriste IV
FUTUREWEAPON_3_DETAIL  | Améliorations générales de la technologie des armes.

FUTUREWEAPON_4_NAME    | Armes futuriste V
FUTUREWEAPON_4_DETAIL  | Améliorations générales de la technologie des armes.

FUTUREWEAPON_5_NAME    | Armes futuriste VI
FUTUREWEAPON_5_DETAIL  | Améliorations générales de la technologie des armes.

FUTUREWEAPON_6_NAME    | Armes futuriste VII
FUTUREWEAPON_6_DETAIL  | Améliorations générales de la technologie des armes.

FUTUREWEAPON_7_NAME    | Armes futuriste VIII
FUTUREWEAPON_7_DETAIL  | Améliorations générales de la technologie des armes.

FUTUREWEAPON_8_NAME    | Armes futuriste IX
FUTUREWEAPON_8_DETAIL  | Améliorations générales de la technologie des armes.

FUTUREWEAPON_9_NAME    | Armes futuriste X
FUTUREWEAPON_9_DETAIL  | Améliorations générales de la technologie des armes.


//
// Hand Weapon techs
//
HANDWEAPON_0_NAME      | À main nue
HANDWEAPON_0_DETAIL    | Vos troupes terrestres combattent à mains nues.

HANDWEAPON_1_NAME      | Pistolet lasers
HANDWEAPON_1_DETAIL    | Des lasers personnels qui ajoutent 5 points à vos attaques au sol.

HANDWEAPON_2_NAME      | Fusil ionique
HANDWEAPON_2_DETAIL    | Armes à rayon personnelles qui ajoutent 10 points à vos attaques au sol.

HANDWEAPON_3_NAME      | Fusil à fusion
HANDWEAPON_3_DETAIL    | Des armes à rayon imprécises mais incroyablement puissantes qui ajoutent 20 points à vos attaques au sol.

HANDWEAPON_4_NAME      | Phaseur de poing
HANDWEAPON_4_DETAIL    | Des puissantes armes à énergie portatives capables de réduire un adversaire à ses atomes composants. Ajoute 25 points à vos attaques au sol.

HANDWEAPON_5_NAME      | Fusil à plasma
HANDWEAPON_5_DETAIL    | L'arme de poing la plus dévastatrice disponible. Ajoute 30 points à vos attaques au sol.


//
// Hyperspace Communication tech
//
HYPERSPACE_0_NAME      | Communications hyperspatiales
HYPERSPACE_0_DETAIL    | Vous permet de communiquer avec des flottes de vaisseaux dans l'hyperespace et de modifier leurs destinations en cours de route.


//
// Technologie industrielle améliorées
//
IMPRINDUSTRY_0_NAME     | Production industrielle 9
IMPRINDUSTRY_0_DETAIL   | Réduit les coûts de construction d'usine à 9 BC chacun.

IMPRINDUSTRY_1_NAME     | Production industrielle 8
IMPRINDUSTRY_1_DETAIL   | Réduit les coûts de construction d'usine à 8 BC chacun.

IMPRINDUSTRY_2_NAME     | Production industrielle 7
IMPRINDUSTRY_2_DETAIL   | Réduit les coûts de construction d'usine à 7 BC chacun.

IMPRINDUSTRY_3_NAME     | Production industrielle 6
IMPRINDUSTRY_3_DETAIL   | Réduit les coûts de construction d'usine à 6 BC chacun.

IMPRINDUSTRY_4_NAME     | Production industrielle 5
IMPRINDUSTRY_4_DETAIL   | Réduit les coûts de construction d'usine à 5 BC chacun.

IMPRINDUSTRY_5_NAME     | Production industrielle 4
IMPRINDUSTRY_5_DETAIL   | Réduit les coûts de construction d'usine à 4 BC chacun.

IMPRINDUSTRY_6_NAME     | Production industrielle 3
IMPRINDUSTRY_6_DETAIL   | Réduit les coûts de construction d'usine à 3 BC chacun.

IMPRINDUSTRY_7_NAME     | Production industrielle 2
IMPRINDUSTRY_7_DETAIL   | Réduit les coûts de construction d'usine à 2 BC chacun.


//
// Terraformation améliorée techs
//
IMPRTFORM_0_NAME        | Terraformation améliorée +10
IMPRTFORM_0_DETAIL      | Augmente la capacité de population des planètes de 10 millions pour un coût de 5 BC par million.

IMPRTFORM_1_NAME        | Terraformation améliorée +20
IMPRTFORM_1_DETAIL      | Augmente la capacité de population des planètes de 20 millions pour un coût de 5 BC par million.

IMPRTFORM_2_NAME        | Terraformation améliorée +30
IMPRTFORM_2_DETAIL      | Augmente la capacité de population des planètes de 30 millions pour un coût de 4 BC par million.

IMPRTFORM_3_NAME        | Terraformation améliorée +40
IMPRTFORM_3_DETAIL      | Augmente la capacité de population des planètes de 40 millions pour un coût de 4 BC par million.

IMPRTFORM_4_NAME        | Terraformation améliorée +50
IMPRTFORM_4_DETAIL      | Augmente la capacité de population des planètes de 50 millions pour un coût de 3 BC par million..

IMPRTFORM_5_NAME        | Terraformation améliorée +60
IMPRTFORM_5_DETAIL      | Augmente la capacité de population des planètes de 60 millions pour un coût de 3 BC par million.

IMPRTFORM_6_NAME        | Terraformation améliorée +80
IMPRTFORM_6_DETAIL      | Augmente la capacité de population des planètes de 80 millions pour un coût de 2 BC par million.

IMPRTFORM_7_NAME        | Terraformation améliorée +100
IMPRTFORM_7_DETAIL      | Augmente la capacité de population des planètes de 100 millions pour un coût de 2 BC par million.

IMPRTFORM_8_NAME        | Terraformation complète
IMPRTFORM_8_DETAIL      | Augmente la capacité de population des planètes de 120 millions pour un coût de 2 BC par million.


//
// Industrial Waste techs
//
INDWASTE_0_NAME         | Réduction des déchets industriels 80%
INDWASTE_0_DETAIL       | Réduit le niveau de pollution des usines à 80 % du taux normal.

INDWASTE_1_NAME         | Réduction des déchets industriels 60%
INDWASTE_1_DETAIL       | Réduit le niveau de pollution des usines à 60 % du taux normal.

INDWASTE_2_NAME         | Réduction des déchets industriels 40%
INDWASTE_2_DETAIL       | Réduit le niveau de pollution des usines à 40 % du taux normal.

INDWASTE_3_NAME         | Réduction des déchets industriels 20%
INDWASTE_3_DETAIL       | Réduit le niveau de pollution des usines à 20 % du taux normal.

INDWASTE_4_NAME         | Élimination des déchets industriels
INDWASTE_4_DETAIL       | Les usines cessent de polluer.


//
// Missile Defense techs
//
MISSDEF_NAME        | Technologies Anti-Missiles
MISSDEF_DETAIL      | Les roquettes anti-missiles (niveau 6), le bouclier Zyro (niveau 31) et le bouclier de foudre (niveau 46) offrent une défense ponctuelle contre les attaques de missiles et de torpilles. Ils ont respectivement 40 %, 75 % et 100 % de chances d'arrêter une attaque de missiles ou de torpilles, moins 1 % par niveau de technologie du missile ou de la torpille attaquants.

MISSDEF_0_NAME      | Fusées anti-missiles
MISSDEF_0_BRIEF     | 40 % de chances que les missiles soient détruits
MISSDEF_0_DETAIL    | Roquettes trans-légères capables de détruire les missiles ennemis entrants 40 % du temps, -1 % par niveau de technologie du missile.

MISSDEF_1_NAME      | Bouclier Zyro
MISSDEF_1_BRIEF     | 75 % de chances que les missiles soient détruits
MISSDEF_1_DETAIL    | Un champ d'énergie qui détruit les missiles et torpilles ennemis entrants 75% du temps, -1% par niveau technologique du missile.

MISSDEF_2_NAME      | Bouclier de foudre
MISSDEF_2_BRIEF     | 100 % de chances que les missiles soient détruits
MISSDEF_2_DETAIL    | Un champ d'énergie qui détruit les missiles et torpilles ennemis entrants 100% du temps, -1% par niveau technologique du missile.


//
// Missile Weapon techs
//
MISSWPN_NAME        | Missiles et Roquettes
MISSWPN_DETAIL      | Leur niveau d'attaque est égal au niveau de l'ordinateur de combat du vaisseau qui les tire, plus le bonus d'attaque de l'arme.

MISSWPN_0_NAME      | Missiles nucléaires
MISSWPN_0_BRIEF     | 2 coups, +1 vitesse
MISSWPN_0_BRIEF2    | 5 coups
MISSWPN_0_DETAIL    | Missiles munis d'ogives nucléaires qui explosent en infligeant 4 points de dégâts et se déplacent à une vitesse de 2.

MISSWPN_1_NAME      | Roquettes Hyper-V
MISSWPN_1_BRIEF     | 2 coups, +1 vitesse
MISSWPN_1_BRIEF2    | 5 coups
MISSWPN_1_DETAIL    | Des missiles rapides qui explosent pour 6 points de dégâts et se déplacent à une vitesse de 2,5.

MISSWPN_2_NAME      | Roquettes Hyper-X
MISSWPN_2_BRIEF     | 2 coups, Ciblage +1
MISSWPN_2_BRIEF2    | 5 coups, Ciblage +1
MISSWPN_2_DETAIL    | Missiles équipés d'ogives à haute énergie qui explosent pour 8 points de dégâts, se déplacent à une vitesse de 2,5 et sont contrôlés par un ordinateur de ciblage de niveau +1.

MISSWPN_3_NAME      | Roquettes à têtes multiples V
MISSWPN_3_BRIEF     | 2 coups, Mirvage V, +1 vitesse
MISSWPN_3_BRIEF2    | 5 coups, Mirvage V
MISSWPN_3_DETAIL    | Versions mirvage des fusées Hyper-V, se divisant en cinq ogives distinctes qui explosent chacune pour 6 points de dégâts et se déplacent à une vitesse de 2,5.

MISSWPN_4_NAME      | Missiles Merculite
MISSWPN_4_BRIEF     | 2 coups, Ciblage +2
MISSWPN_4_BRIEF2    | 5 coups, Ciblage +2
MISSWPN_4_DETAIL    | Des missiles rapides et percutants qui explosent en infligeant 10 points de dégâts, se déplacent à une vitesse de 3 et sont contrôlés par un ordinateur de ciblage +2.

MISSWPN_5_NAME      | Missiles Stinger
MISSWPN_5_BRIEF     | 2 coups, Ciblage +3
MISSWPN_5_BRIEF2    | 5 coups, Ciblage +3
MISSWPN_5_DETAIL    | Des missiles lents et hyper-précis qui infligent 15 points de dégâts, se déplacent à une vitesse de 3,5 et sont contrôlés par un ordinateur de ciblage +3.

MISSWPN_6_NAME      | Missiles à têtes multiples VII
MISSWPN_6_BRIEF     | 2 coups, Mirvage VII
MISSWPN_6_BRIEF2    | 5 coups, Mirvage VII
MISSWPN_6_DETAIL    | Versions Mirvage des fusées Hyper-X, se divisant en 7 ogives distinctes qui explosent chacune pour 10 points de dégâts, se déplacent à une vitesse de 3 et sont guidées par un ordinateur de ciblage +2.

MISSWPN_7_NAME      | Missiles Pulson
MISSWPN_7_BRIEF     | 2 coups, Ciblage +4
MISSWPN_7_BRIEF2    | 5 coups, Ciblage +4
MISSWPN_7_DETAIL    | De puissants missiles équipés d'ogives anti-matière qui explosent pour 20 points de dégâts, se déplacent à la vitesse 4 et sont contrôlés par un ordinateur de ciblage +4.

MISSWPN_8_NAME      | Missiles Herculaires
MISSWPN_8_BRIEF     | 2 coups, Ciblage +5
MISSWPN_8_BRIEF2    | 5 coups, Ciblage +5
MISSWPN_8_DETAIL    | Missile très avancé qui explose et inflige 25 points de dégâts. Les missiles herculaires se déplacent à une vitesse de 4,5 et sont contrôlés par un ordinateur de ciblage +5.

MISSWPN_9_NAME      | Missiles Zeon
MISSWPN_9_BRIEF     | 2 coups, Ciblage +5
MISSWPN_9_BRIEF2    | 5 coups, Ciblage +5
